"event","gender","age","industry","profession","greywage","way"
1,"f",22,"Banks","IT","white","bus"
1,"f",22,"Banks","IT","white","bus"
1,"m",28,"Telecom","IT","white","car"
1,"m",28,"Telecom","IT","white","car"
1,"m",25,"manufacture","HR","white","car"
1,"f",23,"Building","Marketing","white","bus"
1,"m",25,"Building","HR","white","bus"
1,"f",26,"Banks","HR","white","bus"
1,"f",26,"Banks","HR","white","bus"
1,"m",30,"Retail","Sales","white","car"
1,"m",38,"IT","IT","white","car"
1,"f",37,"State","Marketing","white","foot"
1,"f",26,"Agriculture","Law","grey","bus"
1,"f",27,"Banks","HR","white","car"
1,"f",29,"Retail","etc","white","bus"
1,"f",29,"Retail","etc","white","bus"
1,"f",29,"Retail","etc","white","bus"
1,"f",26,"manufacture","HR","white","bus"
1,"f",26,"manufacture","HR","white","bus"
1,"f",49,"manufacture","HR","white","bus"
1,"m",21,"Banks","HR","white","foot"
1,"m",21,"Banks","HR","white","foot"
1,"m",26,"Mining","HR","white","car"
1,"f",22,"etc","Marketing","grey","car"
1,"m",51,"Retail","etc","white","car"
1,"f",28,"manufacture","Finanñe","white","car"
1,"m",52,"Consult","Consult","white","foot"
1,"f",43,"Pharma","HR","white","car"
1,"f",44,"manufacture","HR","grey","car"
1,"f",45,"manufacture","Engineer","white","bus"
1,"f",27,"Building","HR","white","bus"
1,"f",26,"Retail","HR","white","bus"
1,"f",25,"manufacture","HR","white","car"
1,"f",19,"Banks","HR","white","foot"
1,"f",31,"etc","HR","white","bus"
1,"f",31,"Banks","HR","grey","bus"
1,"f",31,"Banks","HR","grey","bus"
1,"f",31,"RealEstate","HR","white","bus"
1,"f",30.40033257,"etc","HR","white","bus"
1,"f",30.40033257,"etc","HR","white","bus"
1,"f",18,"Retail","HR","white","bus"
1,"m",33,"IT","Consult","white","car"
1,"f",36,"Retail","Sales","white","bus"
1,"f",31,"etc","HR","white","car"
1,"f",45,"IT","HR","white","car"
1,"f",29,"Retail","HR","white","car"
1,"m",23,"Banks","HR","white","bus"
1,"f",27,"Retail","HR","white","car"
1,"f",22,"Retail","Sales","grey","bus"
1,"m",47,"manufacture","Commercial","grey","bus"
1,"m",47,"manufacture","Commercial","grey","bus"
1,"m",47,"manufacture","Commercial","grey","bus"
1,"f",30.40033257,"Consult","HR","white","bus"
1,"f",28,"transport","HR","white","car"
0,"f",43,"manufacture","HR","white","bus"
1,"m",26,"Consult","Consult","white","bus"
1,"f",31,"Retail","Sales","grey","bus"
1,"m",24,"Retail","HR","grey","bus"
1,"f",27,"Building","HR","white","bus"
1,"m",35,"Retail","HR","white","car"
1,"m",35,"Retail","HR","white","car"
1,"f",31,"PowerGeneration","HR","white","car"
1,"m",23,"IT","HR","white","bus"
1,"f",40,"Banks","Sales","white","car"
1,"f",31,"IT","HR","white","bus"
1,"f",37,"etc","HR","white","bus"
1,"f",24,"IT","HR","white","bus"
1,"f",23,"Building","HR","grey","bus"
1,"f",23,"Building","HR","grey","bus"
1,"f",46,"RealEstate","HR","white","car"
1,"f",23,"Consult","Marketing","white","bus"
1,"f",40,"IT","HR","white","bus"
1,"m",39,"manufacture","Engineer","white","car"
1,"f",28,"Retail","HR","white","car"
1,"m",40,"etc","HR","white","car"
1,"m",33,"Retail","Finanñe","white","bus"
1,"m",33,"Retail","Finanñe","white","bus"
1,"f",24,"Banks","HR","white","foot"
1,"f",38,"Retail","HR","white","bus"
1,"m",35,"manufacture","BusinessDevelopment","white","car"
1,"f",33,"manufacture","HR","white","car"
1,"f",36,"etc","HR","white","foot"
1,"f",36,"etc","HR","white","foot"
1,"f",36,"etc","HR","white","foot"
1,"f",22,"etc","HR","white","bus"
1,"f",38,"manufacture","HR","white","bus"
1,"f",23,"Banks","HR","white","bus"
1,"f",23,"Banks","HR","white","bus"
1,"f",24,"etc","Sales","white","bus"
1,"m",26,"Retail","Sales","white","car"
1,"f",33,"etc","etc","white","bus"
1,"f",40,"Banks","HR","grey","bus"
1,"f",23,"manufacture","manage","white","car"
1,"f",27,"Retail","HR","white","car"
1,"f",24,"PowerGeneration","Sales","white","bus"
1,"f",30,"Banks","HR","white","car"
1,"f",37,"Pharma","etc","white","car"
1,"f",31,"manufacture","HR","grey","bus"
1,"f",31,"Retail","HR","white","bus"
1,"f",23,"IT","HR","white","bus"
1,"f",40,"Banks","HR","white","bus"
1,"f",40,"Banks","HR","white","bus"
1,"f",40,"Banks","HR","white","bus"
1,"f",37,"etc","Marketing","white","bus"
1,"f",30,"Retail","Sales","white","bus"
1,"f",38,"State","Teaching","white","foot"
1,"m",32,"Mining","Law","white","bus"
1,"f",34,"Building","Marketing","grey","car"
1,"f",25,"manufacture","HR","grey","car"
1,"f",25,"manufacture","HR","grey","car"
0,"m",33,"Retail","HR","white","car"
0,"m",33,"Retail","HR","white","car"
0,"m",33,"Retail","HR","white","car"
1,"m",37,"manufacture","manage","grey","bus"
1,"f",31,"manufacture","HR","white","bus"
0,"f",30,"RealEstate","BusinessDevelopment","white","foot"
1,"m",26,"manufacture","Engineer","white","bus"
1,"m",33,"Banks","etc","white","car"
0,"f",25,"Retail","HR","grey","car"
0,"f",32,"etc","Marketing","white","foot"
0,"f",36,"Retail","HR","white","car"
0,"f",38,"Building","HR","white","car"
1,"f",23,"Retail","Marketing","white","car"
1,"f",26,"State","manage","white","foot"
1,"f",24,"Banks","HR","white","foot"
1,"f",25,"Retail","HR","white","bus"
1,"f",33,"Banks","HR","white","car"
0,"f",32,"Pharma","Sales","white","bus"
0,"f",44,"Banks","HR","white","car"
1,"f",24,"Consult","Consult","grey","bus"
1,"f",23,"manufacture","HR","white","bus"
0,"f",25,"manufacture","HR","white","bus"
1,"f",34,"etc","HR","white","car"
1,"m",30,"Retail","Sales","grey","car"
1,"f",29,"State","Teaching","white","foot"
1,"f",30,"Mining","HR","white","car"
0,"f",29,"IT","HR","white","bus"
0,"f",26,"HoReCa","HR","white","car"
1,"f",28,"Retail","HR","white","bus"
1,"f",33,"HoReCa","HR","white","bus"
1,"f",33,"HoReCa","HR","white","bus"
1,"f",27,"Retail","HR","white","foot"
1,"f",32,"State","Teaching","white","bus"
1,"f",31,"Banks","HR","grey","bus"
0,"f",23,"Retail","HR","white","bus"
1,"m",22,"PowerGeneration","etc","white","bus"
1,"f",24,"Telecom","HR","white","bus"
1,"f",23,"Retail","Sales","white","bus"
0,"f",32,"Retail","HR","white","bus"
0,"m",42,"manufacture","BusinessDevelopment","white","car"
1,"m",22,"PowerGeneration","Marketing","white","bus"
1,"m",39,"Banks","BusinessDevelopment","white","bus"
1,"m",34,"etc","HR","grey","bus"
0,"f",30,"State","HR","white","bus"
1,"f",28,"Retail","Marketing","white","car"
0,"f",31,"Retail","BusinessDevelopment","white","car"
0,"f",31,"Retail","BusinessDevelopment","white","car"
1,"f",32,"etc","HR","white","bus"
0,"f",40,"manufacture","HR","white","bus"
1,"f",22,"IT","manage","white","bus"
1,"f",41,"Banks","HR","white","bus"
1,"f",24,"manufacture","HR","grey","bus"
1,"f",24,"manufacture","HR","grey","bus"
1,"f",26,"etc","Engineer","white","bus"
1,"f",36,"RealEstate","manage","white","bus"
1,"m",30,"Retail","Sales","grey","car"
1,"f",30,"Retail","HR","white","bus"
0,"f",31,"IT","HR","white","bus"
1,"f",24,"Pharma","HR","white","bus"
1,"f",28,"IT","HR","white","bus"
1,"f",24,"etc","PR","white","foot"
1,"f",24,"etc","PR","white","foot"
1,"f",44,"etc","HR","white","bus"
0,"f",24,"Retail","HR","white","car"
1,"m",39,"Retail","manage","white","car"
0,"f",35,"Telecom","BusinessDevelopment","white","bus"
1,"f",40,"Retail","HR","white","car"
1,"f",30.40033257,"Retail","Marketing","white","bus"
1,"f",26,"Banks","HR","grey","bus"
1,"f",26,"Banks","HR","grey","bus"
0,"f",31,"etc","HR","white","bus"
0,"f",26,"IT","HR","white","bus"
0,"f",26,"IT","HR","white","bus"
1,"f",33,"Pharma","HR","white","car"
0,"f",23,"Consult","HR","white","foot"
0,"f",32,"Retail","HR","white","bus"
1,"m",28,"etc","IT","white","bus"
0,"f",26,"Retail","etc","white","car"
1,"f",27,"etc","HR","white","bus"
0,"m",22,"IT","IT","white","foot"
1,"m",37,"IT","IT","white","bus"
1,"m",38,"Agriculture","HR","white","bus"
1,"m",44,"Retail","Sales","grey","bus"
0,"f",27,"etc","etc","white","bus"
1,"f",23,"Agriculture","Consult","white","bus"
1,"f",23,"Agriculture","Consult","white","bus"
1,"f",23,"Agriculture","Consult","white","bus"
1,"f",23,"Agriculture","Consult","white","bus"
1,"f",34,"Building","HR","white","bus"
0,"m",23,"Telecom","Engineer","grey","bus"
0,"f",25,"Retail","HR","grey","bus"
0,"f",26,"Retail","HR","white","bus"
0,"f",26,"Retail","HR","white","bus"
0,"f",30,"Retail","etc","grey","bus"
1,"m",45,"Telecom","BusinessDevelopment","white","bus"
0,"f",31,"transport","Consult","white","bus"
0,"f",31,"transport","Consult","white","bus"
1,"f",36,"manufacture","etc","white","foot"
1,"f",36,"manufacture","etc","white","foot"
0,"f",29,"PowerGeneration","Commercial","grey","car"
1,"f",30,"Telecom","HR","white","foot"
1,"f",23,"manufacture","Engineer","white","bus"
1,"f",23,"manufacture","Engineer","white","bus"
1,"f",27,"Retail","HR","white","bus"
1,"m",29,"Consult","HR","white","car"
1,"f",28,"State","manage","white","bus"
0,"m",46,"Consult","HR","white","bus"
1,"m",23,"State","Law","white","car"
1,"m",23,"State","Law","white","car"
0,"f",26,"Building","HR","white","foot"
0,"f",26,"Building","HR","white","foot"
1,"f",38,"transport","HR","grey","bus"
1,"f",38,"transport","HR","grey","bus"
1,"m",26,"Retail","IT","white","bus"
0,"f",31,"Retail","HR","white","bus"
0,"f",31,"Retail","HR","white","bus"
1,"f",36,"Building","HR","white","bus"
0,"f",33,"PowerGeneration","HR","white","car"
0,"f",33,"PowerGeneration","HR","white","car"
1,"f",28,"Building","BusinessDevelopment","white","foot"
1,"f",27,"Retail","HR","white","bus"
0,"f",26,"Banks","IT","grey","car"
0,"f",28,"Retail","HR","white","bus"
1,"f",40,"Retail","HR","grey","car"
1,"m",23,"etc","Marketing","white","bus"
1,"f",22,"IT","IT","grey","bus"
0,"f",29,"manufacture","HR","white","foot"
0,"f",29,"manufacture","HR","white","foot"
1,"m",23,"State","etc","white","bus"
0,"f",29,"manufacture","HR","white","foot"
0,"f",29,"manufacture","HR","white","foot"
1,"m",26,"IT","IT","white","bus"
0,"f",26,"transport","HR","white","bus"
1,"m",26,"Building","Engineer","white","bus"
0,"m",19,"IT","IT","white","bus"
0,"f",33,"Retail","HR","grey","bus"
1,"f",24,"Consult","Consult","white","bus"
0,"f",31,"Retail","Accounting","white","bus"
1,"f",33,"Pharma","HR","white","car"
1,"f",22,"IT","HR","white","bus"
1,"f",25,"Banks","HR","white","bus"
0,"f",28,"Agriculture","HR","white","bus"
0,"f",32,"Telecom","HR","white","bus"
1,"f",22,"transport","HR","white","bus"
1,"f",37,"Consult","Finanñe","white","bus"
1,"f",27,"Retail","HR","grey","car"
1,"f",27,"Retail","HR","grey","car"
1,"f",35,"Telecom","HR","white","foot"
0,"f",27,"Telecom","Marketing","white","car"
1,"m",24,"Consult","HR","white","foot"
1,"f",25,"Banks","HR","grey","bus"
1,"f",23,"Banks","IT","white","bus"
0,"f",24,"IT","HR","white","bus"
1,"m",31,"Retail","IT","white","bus"
1,"m",35,"Retail","Sales","white","foot"
1,"f",21,"State","PR","white","bus"
0,"f",19,"Retail","HR","white","bus"
1,"f",21,"Consult","HR","white","bus"
1,"f",24,"Building","etc","grey","bus"
0,"f",35,"Pharma","HR","white","bus"
1,"m",25,"Retail","Sales","white","car"
1,"m",19,"manufacture","Accounting","white","car"
1,"m",19,"manufacture","Accounting","white","car"
0,"f",30.40033257,"Banks","HR","white","bus"
0,"f",35,"manufacture","HR","white","bus"
0,"f",43,"State","Law","white","car"
1,"f",22,"Consult","HR","white","bus"
1,"f",48,"Building","HR","white","bus"
0,"f",29,"IT","IT","white","car"
0,"f",29,"IT","IT","white","car"
0,"f",33,"PowerGeneration","HR","white","car"
0,"f",33,"PowerGeneration","HR","white","car"
1,"f",44,"Retail","HR","grey","bus"
1,"f",24,"IT","HR","white","foot"
1,"f",42,"Consult","HR","white","bus"
1,"f",42,"Consult","HR","white","bus"
1,"f",22,"State","Teaching","grey","bus"
1,"m",41,"IT","IT","white","bus"
1,"f",26,"State","HR","white","car"
1,"m",31,"Building","Engineer","white","bus"
1,"f",38,"Building","HR","white","bus"
0,"m",38,"Agriculture","HR","white","car"
1,"f",26,"Consult","HR","grey","bus"
0,"f",29,"Retail","HR","grey","bus"
0,"f",29,"Retail","HR","grey","bus"
0,"f",29,"Retail","HR","grey","bus"
1,"f",38,"Building","HR","white","car"
1,"f",38,"Building","HR","white","car"
0,"m",35,"IT","IT","white","bus"
0,"f",39,"etc","manage","white","bus"
1,"m",19,"manufacture","Accounting","white","car"
1,"m",19,"manufacture","Accounting","white","car"
0,"f",26,"IT","HR","white","bus"
0,"f",26,"IT","HR","white","bus"
1,"m",32,"Mining","Law","white","bus"
1,"f",26,"State","HR","white","car"
0,"m",33,"Retail","HR","white","car"
0,"m",33,"Retail","HR","white","car"
0,"f",39,"transport","HR","white","bus"
0,"f",39,"transport","HR","white","bus"
0,"f",23,"Retail","HR","white","bus"
0,"f",24,"manufacture","HR","white","bus"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
0,"f",34,"Banks","HR","white","bus"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
0,"m",32,"State","etc","white","car"
0,"f",29,"Retail","HR","white","bus"
0,"f",21,"Retail","HR","grey","bus"
0,"f",21,"Retail","HR","grey","bus"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
1,"m",42,"etc","Marketing","grey","bus"
0,"f",35,"Telecom","HR","grey","bus"
1,"m",42,"Consult","Consult","white","bus"
0,"m",28,"IT","HR","white","bus"
0,"f",27,"PowerGeneration","HR","white","foot"
0,"f",27,"PowerGeneration","HR","white","foot"
1,"m",33,"Building","Sales","grey","car"
0,"f",26,"Banks","Sales","white","foot"
0,"f",26,"Banks","Sales","white","foot"
0,"f",31,"transport","manage","white","bus"
0,"f",31,"transport","manage","white","bus"
1,"f",32,"manufacture","HR","white","car"
0,"f",25,"Retail","HR","white","car"
0,"f",33,"manufacture","HR","white","bus"
1,"f",28,"transport","HR","white","bus"
1,"m",26,"etc","Engineer","white","bus"
1,"f",40,"Building","HR","white","car"
0,"f",26,"IT","HR","white","bus"
0,"m",21,"Retail","Sales","white","bus"
0,"f",27,"Retail","HR","white","bus"
1,"f",29,"Mining","HR","white","bus"
0,"f",25,"Retail","Marketing","white","bus"
1,"m",44,"Retail","Commercial","white","bus"
1,"m",31,"RealEstate","Marketing","grey","car"
1,"f",36,"Telecom","HR","white","car"
1,"f",30,"State","HR","white","foot"
0,"f",31,"State","HR","white","bus"
0,"f",22,"Consult","HR","white","bus"
1,"f",54,"Pharma","HR","white","car"
1,"f",54,"Pharma","HR","white","car"
1,"f",36,"manufacture","HR","white","bus"
1,"f",32,"Retail","HR","grey","car"
0,"f",33,"Banks","HR","white","bus"
0,"f",23,"Retail","etc","white","bus"
1,"f",41,"Banks","HR","white","bus"
1,"f",41,"Banks","HR","white","bus"
1,"f",41,"Banks","HR","white","bus"
1,"f",30,"Banks","HR","white","bus"
0,"f",26,"manufacture","HR","white","bus"
1,"f",23,"Banks","HR","white","car"
1,"f",23,"Banks","HR","white","car"
0,"f",42,"etc","HR","white","foot"
1,"f",25,"State","manage","white","bus"
1,"f",23,"Telecom","HR","white","bus"
1,"f",22,"etc","Sales","white","foot"
0,"f",29,"Retail","HR","white","bus"
0,"f",37,"Retail","HR","white","bus"
1,"m",24,"Building","HR","white","car"
1,"m",26,"etc","HR","white","bus"
1,"f",34,"manufacture","manage","white","car"
1,"f",27,"Agriculture","Marketing","white","bus"
0,"f",28,"Retail","HR","grey","bus"
0,"f",28,"Retail","HR","grey","bus"
0,"f",28,"Retail","HR","grey","bus"
0,"f",20,"etc","HR","white","bus"
1,"m",26,"State","IT","white","bus"
1,"f",27,"IT","HR","white","bus"
1,"f",22,"Telecom","HR","white","car"
0,"f",31,"manufacture","HR","white","car"
1,"f",31,"manufacture","HR","grey","car"
1,"f",31,"etc","HR","white","car"
1,"f",37,"Building","HR","white","car"
1,"m",42,"IT","Consult","white","bus"
1,"f",22,"Retail","HR","white","bus"
1,"f",22,"Retail","HR","white","bus"
1,"m",40,"Agriculture","Sales","white","bus"
0,"f",23,"transport","HR","white","bus"
1,"f",34,"Retail","BusinessDevelopment","white","bus"
0,"m",33,"State","Sales","white","car"
1,"f",46,"Building","HR","white","car"
0,"f",22,"Retail","HR","white","bus"
0,"f",25,"Mining","Finanñe","white","car"
1,"f",23,"Banks","HR","white","car"
1,"f",23,"Banks","HR","white","car"
1,"m",31,"Retail","Sales","grey","bus"
0,"f",25,"State","HR","white","bus"
0,"f",30,"RealEstate","BusinessDevelopment","white","car"
0,"f",22,"State","HR","white","foot"
1,"f",35,"Retail","HR","white","bus"
1,"f",24,"Consult","HR","white","bus"
0,"f",29,"Retail","HR","white","car"
0,"m",36,"manufacture","Engineer","white","bus"
0,"m",33,"manufacture","Engineer","white","bus"
0,"f",34,"Retail","HR","white","car"
0,"f",34,"Retail","HR","white","car"
0,"f",34,"Retail","HR","white","car"
0,"f",28,"Retail","HR","white","car"
0,"f",45,"State","HR","white","bus"
0,"f",45,"State","HR","white","bus"
1,"f",41,"Retail","HR","white","bus"
1,"f",41,"Retail","HR","white","bus"
1,"f",41,"Retail","HR","white","bus"
1,"f",41,"Consult","HR","white","bus"
1,"f",41,"Consult","HR","white","bus"
0,"m",33,"Retail","HR","white","bus"
1,"f",22,"Banks","HR","white","bus"
0,"f",29,"Retail","HR","grey","bus"
0,"f",29,"Retail","HR","grey","bus"
0,"f",29,"Retail","HR","grey","bus"
1,"f",34,"manufacture","Marketing","grey","car"
0,"m",33,"Retail","HR","white","car"
0,"m",33,"Retail","HR","white","car"
0,"f",28,"Agriculture","HR","white","bus"
1,"f",27,"Retail","HR","white","bus"
1,"f",27,"Retail","HR","white","bus"
1,"f",35,"transport","Commercial","white","car"
1,"f",27,"Retail","HR","white","bus"
1,"f",42,"transport","HR","white","bus"
0,"f",22,"Retail","manage","white","bus"
0,"f",40,"RealEstate","HR","white","foot"
0,"f",40,"RealEstate","HR","white","foot"
0,"m",31,"Banks","IT","grey","car"
0,"f",43,"etc","HR","white","bus"
0,"f",23,"etc","Sales","white","bus"
0,"f",29,"Retail","HR","white","bus"
0,"f",29,"Retail","HR","white","bus"
0,"f",29,"Retail","HR","white","bus"
0,"f",22,"State","HR","white","car"
1,"f",44,"State","HR","grey","car"
0,"m",21,"IT","IT","white","foot"
0,"m",40,"IT","Sales","white","car"
1,"f",32,"etc","Marketing","white","bus"
0,"m",31,"Banks","etc","white","bus"
1,"f",23,"etc","HR","white","bus"
1,"m",27,"Building","HR","white","car"
0,"f",25,"manufacture","HR","white","bus"
0,"f",25,"manufacture","HR","white","bus"
1,"m",39,"Banks","Finanñe","white","bus"
1,"f",29,"Retail","Sales","white","car"
1,"f",24,"Consult","HR","white","bus"
1,"f",24,"Consult","HR","white","bus"
1,"f",33,"manufacture","HR","white","car"
1,"f",27,"Retail","Sales","white","bus"
1,"f",29,"Consult","HR","white","foot"
0,"f",29,"manufacture","HR","white","bus"
1,"m",19,"manufacture","HR","white","car"
1,"m",29,"Consult","HR","white","bus"
0,"f",27,"manufacture","HR","white","car"
0,"f",29,"manufacture","HR","white","bus"
0,"m",33,"PowerGeneration","etc","white","car"
1,"f",30,"RealEstate","HR","grey","bus"
0,"f",31,"etc","HR","white","bus"
0,"m",33,"Telecom","IT","white","car"
0,"m",34,"manufacture","HR","white","bus"
1,"f",34,"Mining","manage","white","bus"
1,"m",29,"PowerGeneration","HR","white","bus"
1,"f",31,"Building","Marketing","white","car"
1,"m",42,"Consult","Consult","white","bus"
1,"f",34,"Mining","HR","white","car"
1,"f",39,"Retail","HR","white","car"
1,"f",38,"Mining","Finanñe","white","bus"
0,"f",42,"Banks","HR","white","bus"
1,"f",33,"manufacture","HR","grey","car"
1,"f",44,"transport","HR","white","car"
1,"m",28,"transport","Commercial","white","bus"
0,"f",30.40033257,"Retail","HR","grey","bus"
1,"f",24,"etc","HR","white","bus"
1,"f",29,"manufacture","HR","white","car"
0,"m",27,"etc","Sales","grey","bus"
1,"m",30,"Retail","Sales","white","car"
1,"f",39,"HoReCa","HR","white","foot"
1,"f",26,"Telecom","IT","grey","bus"
0,"m",40,"State","Consult","grey","foot"
0,"f",28,"Building","HR","white","bus"
0,"f",39,"transport","HR","white","bus"
0,"f",39,"transport","HR","white","bus"
0,"f",24,"Retail","HR","white","bus"
0,"f",24,"Retail","HR","white","bus"
0,"f",34,"etc","etc","white","car"
0,"f",23,"transport","HR","white","bus"
0,"m",28,"IT","HR","white","bus"
0,"f",30,"transport","HR","white","bus"
1,"f",34,"State","Teaching","white","bus"
1,"f",32,"transport","HR","white","bus"
0,"f",20,"Telecom","HR","white","foot"
0,"f",25,"Consult","HR","white","bus"
1,"f",23,"etc","HR","white","bus"
1,"f",25,"State","Consult","white","bus"
1,"f",25,"Retail","IT","grey","bus"
0,"f",37,"IT","HR","white","bus"
0,"m",36,"transport","etc","grey","bus"
0,"f",23,"PowerGeneration","HR","white","bus"
0,"f",26,"State","HR","white","bus"
1,"f",32,"Consult","HR","white","car"
0,"f",23,"Retail","HR","white","car"
0,"f",45,"transport","HR","white","car"
1,"f",25,"Consult","HR","grey","bus"
0,"f",38,"Retail","HR","white","bus"
0,"f",20,"Telecom","HR","white","bus"
1,"f",34,"Retail","HR","white","car"
0,"f",24,"IT","HR","white","bus"
0,"f",38,"Retail","BusinessDevelopment","white","car"
0,"f",33,"Pharma","HR","white","bus"
1,"m",25,"Retail","IT","white","car"
0,"f",32,"manufacture","HR","white","car"
1,"f",36,"manufacture","Sales","grey","car"
1,"f",32,"etc","HR","white","bus"
1,"f",25,"Consult","HR","white","bus"
0,"m",37,"manufacture","etc","white","bus"
1,"f",26,"Consult","BusinessDevelopment","white","bus"
0,"m",32,"Retail","HR","white","bus"
0,"f",25,"etc","HR","white","foot"
1,"f",37,"IT","HR","white","bus"
1,"f",25,"transport","HR","white","car"
0,"f",25,"Pharma","HR","white","bus"
0,"f",56,"Retail","HR","white","bus"
1,"m",24,"State","Teaching","white","bus"
0,"f",32,"IT","HR","white","bus"
0,"f",24,"Retail","HR","white","bus"
0,"f",24,"Pharma","HR","white","bus"
0,"f",24,"manufacture","HR","white","bus"
0,"m",31,"Banks","HR","white","car"
0,"f",27,"Building","HR","white","bus"
0,"f",37,"manufacture","HR","white","foot"
1,"f",38,"Retail","HR","white","car"
0,"f",35,"Consult","HR","white","foot"
0,"f",35,"Consult","HR","white","foot"
0,"m",29,"PowerGeneration","HR","white","bus"
0,"m",25,"Retail","Marketing","white","car"
